best_scores,generation_scores,generation
3.5901163250367745,3.5901163250367745,1
3.6004719720024125,3.6004719720024125,2
3.604419628345199,3.604419628345199,3
3.6181725734739665,3.6181725734739665,4
3.629110199093129,3.629110199093129,5
3.6512353314292074,3.6512353314292074,6
3.654308871944084,3.654308871944084,7
3.672916647876786,3.672916647876786,8
3.681638981200087,3.681638981200087,9
3.6844026484566874,3.6844026484566874,10
3.697825033820342,3.697825033820342,11
3.7020896800382794,3.7020896800382794,12
3.7219279121760165,3.7219279121760165,13
3.7259192876666147,3.7259192876666147,14
3.7533998675398066,3.7533998675398066,15
3.7712285072903007,3.7712285072903007,16
3.7712285072903007,3.7712285072903007,17
3.7794864900259597,3.7794864900259597,18
3.7794864900259597,3.7794864900259597,19
3.8167827743675145,3.8167827743675145,20
3.8167827743675145,3.8167827743675145,21
3.8376875713207728,3.8376875713207728,22
3.8514696100171917,3.8514696100171917,23
3.8609075634850685,3.8609075634850685,24
3.8666802785990186,3.8666802785990186,25
3.8666802785990186,3.8666802785990186,26
3.8796087484524255,3.8796087484524255,27
3.8878046752600315,3.8878046752600315,28
3.9087589094138675,3.9087589094138675,29
3.9094085276635604,3.9094085276635604,30
3.9554553487201773,3.9554553487201773,31
3.9554553487201773,3.9554553487201773,32
3.9554553487201773,3.9554553487201773,33
3.978723572241293,3.978723572241293,34
3.978723572241293,3.978723572241293,35
3.9809853201569556,3.9809853201569556,36
3.981773373178613,3.981773373178613,37
4.000858714373974,4.000858714373974,38
4.015070489018188,4.015070489018188,39
4.021898003439836,4.021898003439836,40
4.033441292911907,4.033441292911907,41
4.045376474380705,4.045376474380705,42
4.051772730482373,4.051772730482373,43
4.05638724278415,4.05638724278415,44
4.082358502711399,4.082358502711399,45
4.082358502711399,4.082358502711399,46
4.099030701822082,4.099030701822082,47
4.116137406662732,4.116137406662732,48
4.122352463534003,4.122352463534003,49
4.138596051389046,4.138596051389046,50
4.138596051389046,4.138596051389046,51
4.1461474918764125,4.1461474918764125,52
4.146324479831775,4.146324479831775,53
4.1587607303522605,4.1587607303522605,54
4.165673217804638,4.165673217804638,55
4.1875153706055075,4.1875153706055075,56
4.191641446704272,4.191641446704272,57
4.199525306524574,4.199525306524574,58
4.208964073001096,4.208964073001096,59
4.214318019675712,4.214318019675712,60
4.2348171420032585,4.2348171420032585,61
4.236793413372215,4.236793413372215,62
4.242317323211878,4.242317323211878,63
4.242317323211878,4.242317323211878,64
4.2628782431794505,4.2628782431794505,65
4.272510746398413,4.272510746398413,66
4.2853560917644025,4.2853560917644025,67
4.287473738648133,4.287473738648133,68
4.300816696283794,4.300816696283794,69
4.302024866070616,4.302024866070616,70
4.3071535876597835,4.3071535876597835,71
4.323590804666297,4.323590804666297,72
4.331574823626401,4.331574823626401,73
4.331574823626401,4.331574823626401,74
4.34776914095012,4.34776914095012,75
4.34776914095012,4.34776914095012,76
4.352079709729873,4.352079709729873,77
4.354826601730032,4.354826601730032,78
4.3607421827437705,4.3607421827437705,79
4.362654788004253,4.362654788004253,80
4.3786004494965365,4.3786004494965365,81
4.378678597568339,4.378678597568339,82
4.379035415944055,4.379035415944055,83
4.390609017001698,4.390609017001698,84
4.390999258841832,4.390999258841832,85
4.401683544343926,4.401683544343926,86
4.411544470339836,4.411544470339836,87
4.42206635518345,4.42206635518345,88
4.42206635518345,4.42206635518345,89
4.425746309557424,4.425746309557424,90
4.4295997164518255,4.4295997164518255,91
4.436180827753599,4.436180827753599,92
4.437889077794626,4.437889077794626,93
4.437889077794626,4.437889077794626,94
4.446150953399717,4.446150953399717,95
4.447675703779975,4.447675703779975,96
4.45441197420541,4.45441197420541,97
4.457780211262576,4.457780211262576,98
4.459293206763231,4.459293206763231,99
4.467149366301461,4.467149366301461,100
4.468853085260342,4.468853085260342,101
4.468853085260342,4.468853085260342,102
4.483880008942643,4.483880008942643,103
4.486042169969272,4.486042169969272,104
4.486042169969272,4.486042169969272,105
4.486535787706752,4.486535787706752,106
4.486535787706752,4.486535787706752,107
4.494107314428248,4.494107314428248,108
4.494107314428248,4.494107314428248,109
4.494107314428248,4.494107314428248,110
4.500597024037933,4.500597024037933,111
4.500597024037933,4.500597024037933,112
4.504893601739466,4.504893601739466,113
4.509096327391458,4.509096327391458,114
4.509096327391458,4.509096327391458,115
4.509096327391458,4.509096327391458,116
4.511701108214514,4.511701108214514,117
4.512284414031193,4.512284414031193,118
4.512284414031193,4.512284414031193,119
4.512815472881152,4.512815472881152,120
4.5205684034820885,4.5205684034820885,121
4.5205684034820885,4.5205684034820885,122
4.525832364468182,4.525832364468182,123
4.526233721241716,4.526233721241716,124
4.528121458397896,4.528121458397896,125
4.528121458397896,4.528121458397896,126
4.532513457982679,4.532513457982679,127
4.533698734360913,4.533698734360913,128
4.5355535120886685,4.5355535120886685,129
4.5355535120886685,4.5355535120886685,130
4.5355535120886685,4.5355535120886685,131
4.53623286520085,4.53623286520085,132
4.537417313195642,4.537417313195642,133
4.542915474469016,4.542915474469016,134
4.542915474469016,4.542915474469016,135
4.542915474469016,4.542915474469016,136
4.542915474469016,4.542915474469016,137
4.543203393227094,4.543203393227094,138
4.544464779057666,4.544464779057666,139
4.544464779057666,4.544464779057666,140
4.546714266132063,4.546714266132063,141
4.546714266132063,4.546714266132063,142
4.546714266132063,4.546714266132063,143
4.5508728817349935,4.5508728817349935,144
4.551123195092309,4.551123195092309,145
4.551123195092309,4.551123195092309,146
4.551123195092309,4.551123195092309,147
4.551266063875159,4.551266063875159,148
4.551266063875159,4.551266063875159,149
4.553182883340465,4.553182883340465,150
4.557312390058593,4.557312390058593,151
4.557312390058593,4.557312390058593,152
4.557312390058593,4.557312390058593,153
4.557312390058593,4.557312390058593,154
4.557312390058593,4.557312390058593,155
4.557312390058593,4.557312390058593,156
4.557501419767402,4.557501419767402,157
4.560157520542868,4.560157520542868,158
4.560157520542868,4.560157520542868,159
4.560157520542868,4.560157520542868,160
4.560157520542868,4.560157520542868,161
4.56066674979867,4.56066674979867,162
4.56066674979867,4.56066674979867,163
4.562878196627076,4.562878196627076,164
4.562878196627076,4.562878196627076,165
4.562878196627076,4.562878196627076,166
4.564747899506546,4.564747899506546,167
4.564784425924582,4.564784425924582,168
4.564784425924582,4.564784425924582,169
4.565144838887357,4.565144838887357,170
4.565144838887357,4.565144838887357,171
4.56530500664226,4.56530500664226,172
4.56530500664226,4.56530500664226,173
4.56530500664226,4.56530500664226,174
4.56530500664226,4.56530500664226,175
4.56530500664226,4.56530500664226,176
4.56530500664226,4.56530500664226,177
4.56563109958072,4.56563109958072,178
4.56563109958072,4.56563109958072,179
4.56563109958072,4.56563109958072,180
4.565822079803276,4.565822079803276,181
4.566934696792622,4.566934696792622,182
4.567818987373536,4.567818987373536,183
4.567818987373536,4.567818987373536,184
4.5684431961663226,4.5684431961663226,185
4.569274656876527,4.569274656876527,186
4.569274656876527,4.569274656876527,187
4.569274656876527,4.569274656876527,188
4.569274656876527,4.569274656876527,189
4.569274656876527,4.569274656876527,190
