dataset,positions,n_classes,null_mean,null_p95_median,null_p95_max,observed_median
HCMV,385,8,0.05219826947320751,0.07235577916448062,0.1260420360273552,0.34800518272250913
HIV-1,785,15,0.055131363785612585,0.0649218934901256,0.10178182033400797,0.6406518381154843
SARS-CoV-2,3027,19,0.004458926687948767,0.005453747716069629,0.013505800073492388,0.014584317852312075
