Rank,Matrix,Hydrophob.,Polarity,Volume,Area Lost,pI,In-Out,Aroma.,MinCodD,Composite
1,MIYATA_EVO,0.849,0.791,0.286,0.764,0.419,0.773,0.284,0.412,4.578
2,MIYATA,0.738,0.727,0.398,0.554,0.130,0.471,0.277,0.270,3.566
3,FENG,0.617,0.628,0.216,0.524,0.163,0.416,0.253,0.707,3.525
4,rtREV,0.709,0.682,0.280,0.622,0.055,0.501,0.287,0.312,3.449
5,BENNER74,0.697,0.666,0.302,0.621,0.006,0.433,0.289,0.427,3.441
6,BENNER22,0.674,0.638,0.283,0.550,0.031,0.397,0.321,0.544,3.439
7,GONNET1992,0.705,0.670,0.295,0.629,-0.001,0.440,0.276,0.388,3.402
8,VTML250,0.677,0.638,0.311,0.595,0.021,0.438,0.302,0.370,3.351
9,VTML200,0.664,0.630,0.323,0.575,0.019,0.416,0.309,0.383,3.319
10,JONES,0.626,0.600,0.245,0.503,0.043,0.389,0.303,0.601,3.309
11,WAG,0.648,0.645,0.264,0.591,0.012,0.397,0.251,0.483,3.291
12,BLOSUM62,0.678,0.660,0.247,0.592,0.090,0.425,0.240,0.339,3.271
13,VTML160,0.638,0.603,0.306,0.560,0.030,0.412,0.318,0.392,3.257
14,BLOSUM80,0.656,0.640,0.273,0.571,0.070,0.394,0.273,0.350,3.227
15,BLOSUM90,0.654,0.640,0.256,0.557,0.084,0.379,0.286,0.345,3.202
16,BLASTP,0.645,0.633,0.226,0.581,0.086,0.422,0.242,0.351,3.187
17,BLOSUM50,0.640,0.609,0.264,0.574,0.107,0.420,0.236,0.292,3.142
18,HIVb,0.553,0.529,0.279,0.443,-0.005,0.316,0.284,0.656,3.056
19,MDM78,0.564,0.499,0.376,0.467,-0.012,0.269,0.373,0.517,3.054
20,PAM250,0.565,0.503,0.370,0.473,-0.037,0.269,0.359,0.510,3.013
21,DAYHOFF,0.567,0.502,0.377,0.470,-0.041,0.264,0.357,0.515,3.012
22,BENNER6,0.553,0.542,0.180,0.440,0.047,0.344,0.272,0.604,2.982
23,GRANTHAM,0.597,0.592,0.393,0.541,0.127,0.358,0.101,0.257,2.967
24,BLOSUM45,0.593,0.560,0.287,0.548,0.075,0.373,0.193,0.323,2.953
25,PAM70,0.495,0.438,0.348,0.414,0.031,0.251,0.373,0.585,2.935
26,PAM120,0.504,0.445,0.355,0.409,0.007,0.237,0.395,0.563,2.914
27,PAM30,0.469,0.422,0.340,0.399,0.047,0.244,0.362,0.608,2.89
28,MCLACHLAN,0.556,0.542,0.219,0.578,0.029,0.366,0.200,0.399,2.889
29,JOHNSON,0.575,0.541,0.249,0.591,0.019,0.349,0.183,0.370,2.878
30,LEVIN,0.623,0.601,0.216,0.541,-0.027,0.378,0.224,0.230,2.787
31,FLU,0.532,0.479,0.256,0.465,0.038,0.256,0.207,0.529,2.762
32,STR,0.532,0.494,0.246,0.548,-0.009,0.305,0.166,0.368,2.65
33,FLAVI,0.484,0.439,0.162,0.339,0.083,0.295,0.224,0.598,2.623
34,RAO,0.563,0.610,-0.071,0.556,0.218,0.542,-0.068,0.129,2.48
35,SNEATH,0.280,0.232,0.343,0.108,0.434,0.262,0.533,0.181,2.373
36,HIVw,0.418,0.343,0.134,0.326,-0.058,0.198,0.161,0.649,2.171
37,GENETIC,0.269,0.324,0.219,0.237,-0.023,0.185,0.108,0.839,2.158
38,RISLER,0.155,0.093,0.186,0.150,0.076,-0.065,0.247,0.284,1.125
