Property,MIYATA,MIYATA_EVO,Relative gain (%)
Hydrophob.,0.737874223914862,0.8488716140983771,15.042860501971166
Polarity,0.7273798668559083,0.7913194849244495,8.790402509340755
Volume,0.39784091603120236,0.28597362190124115,-28.118599576416507
Area Lost,0.5541042184161601,0.7643279333925459,37.93938179667444
pI,0.13009923550700359,0.41864498658224464,221.78896743763562
In-Out,0.4709715238733309,0.7728646453182978,64.10007954666955
Aroma.,0.27740882130584193,0.283541640615043,2.2107513670012895
MinCodD,0.27015819983651995,0.41236243756676677,52.6373946140811
