top_k,baseline,kss_mean,baseline_mean,mean_difference,se_naive,se_corrected,t_corrected,p_corrected_t,ci95_low,ci95_high,p_holm
1,Chi2,0.657072378917127,0.6549843361374751,0.002088042779651908,0.0002792121838911651,0.0052949707589748825,0.39434453459685537,0.6941624929190648,-0.00841642682383428,0.012592512383138098,1.0
2,Chi2,0.7891631185021466,0.7467108055204492,0.04245231298169742,0.0011921915847982253,0.047536587004624126,0.893045034502958,0.3736947013192605,-0.05170671172887389,0.13661133769226871,1.0
3,Chi2,0.8279456989488604,0.7861041176905172,0.04184158125834319,0.0010376851055581772,0.029694902403627706,1.4090492937007117,0.16067257966811094,-0.016782519916499893,0.10046568243318627,1.0
5,Chi2,0.8750724798057836,0.8839377176423916,-0.008865237836607979,0.0008637149514466245,0.016420922416367945,-0.5398745339525716,0.5904953633629375,-0.041447736356721276,0.023717260683505322,1.0
7,Chi2,0.902973721962918,0.9105198492165707,-0.007546127253652671,0.0007427699732807055,0.016711073062884264,-0.4515644941085692,0.6520757108713443,-0.04050013592200801,0.02540788141470267,1.0
10,Chi2,0.945941132544042,0.945320057964335,0.00062107457970698,0.00042740389662440165,0.007882687396647428,0.07878970057484813,0.9373467104548908,-0.015005013340029422,0.01624716249944338,1.0
15,Chi2,0.9684474551568749,0.9801659070992177,-0.011718451942342873,0.00047085820251607113,0.023460922495184576,-0.49948811453377934,0.6184486432439643,-0.05822053592087939,0.03478363203619364,1.0
20,Chi2,0.9717858240365179,0.9868039714547556,-0.015018147418237588,0.00032189996035883044,0.014267536139750486,-1.0526097338135236,0.2947939894757019,-0.04328859090913175,0.013252296072656577,1.0
25,Chi2,0.9890210962714202,0.9893226665558905,-0.00030157028447021374,0.00026273777294702326,0.011172588900064864,-0.026991978955608304,0.9785139334275506,-0.02243744489418595,0.021834304325245524,1.0
