method,mean_rank,mean_score,rank_gap_to_best
Chi2,2.977777777777778,0.8759854921424003,0.0
KSS_discriminative,3.3777777777777778,0.8808247673495213,0.3999999999999999
NMI,3.966666666666667,0.8623075935802598,0.9888888888888889
MI,4.133333333333334,0.8583573130219747,1.155555555555556
OddsRatio,4.7555555555555555,0.8656467443940484,1.7777777777777777
SymChi2,5.011111111111111,0.8458199872747652,2.033333333333333
ANOVA,5.611111111111111,0.779675502547815,2.633333333333333
CramerV,6.588888888888889,0.7059982724124626,3.6111111111111107
Random,8.577777777777778,0.5548952809117138,5.6
